family,group,metric,n_pos,n_neg,auc,ci_lo,ci_hi,perm_p,bh_q,baseline_auc,delta_auc,delta_ci_lo,delta_ci_hi,beats_baseline,small_n,length_only_auc
By negative evidence,vs uncertain,chain_pair_iptm,23,2,0.8043478260869565,0.5869565217391305,0.967391304347826,,,0.7391304347826086,0.0652173913043479,-0.07608695652173914,0.26086956521739124,False,True,0.2608695652173913
By negative evidence,vs uncertain,ranking_score,23,2,0.7717391304347826,0.5,1.0,,,0.7391304347826086,0.03260869565217395,-0.17391304347826086,0.23913043478260876,False,True,0.2608695652173913
By negative evidence,vs uncertain,ptm,23,2,0.6413043478260869,0.30434782608695654,0.9347826086956522,,,0.7391304347826086,-0.09782608695652173,-0.6086956521739131,0.39130434782608703,False,True,0.2608695652173913
By negative evidence,vs uncertain,fraction_disordered,23,2,0.5217391304347826,0.17391304347826086,0.8260869565217391,,,0.7391304347826086,-0.21739130434782605,-0.7391304347826086,0.30434782608695654,False,True,0.2608695652173913
By negative evidence,vs uncertain,chain_pair_pae_min,23,2,0.8913043478260869,0.7391304347826086,1.0,,,0.7391304347826086,0.15217391304347827,-0.0434782608695653,0.39130434782608703,False,True,0.2608695652173913
By negative evidence,vs uncertain,pae_inter_mean,23,2,0.8695652173913043,0.6956521739130435,1.0,,,0.7391304347826086,0.13043478260869568,-0.17391304347826086,0.4347826086956522,False,True,0.2608695652173913
By negative evidence,vs uncertain,pae_inter_p05,23,2,0.8913043478260869,0.7391304347826086,1.0,,,0.7391304347826086,0.15217391304347827,-0.10869565217391308,0.4347826086956522,False,True,0.2608695652173913
By negative evidence,vs uncertain,pae_inter_frac_lt10,23,2,0.8478260869565217,0.7608695652173914,0.9347826086956522,,,0.7391304347826086,0.10869565217391308,-0.08695652173913049,0.3695652173913043,False,True,0.2608695652173913
By negative evidence,vs uncertain,pae_inter_frac_lt5,23,2,0.8043478260869565,0.6956521739130435,0.9130434782608695,,,0.7391304347826086,0.0652173913043479,-0.15217391304347827,0.32608695652173914,False,True,0.2608695652173913
By negative evidence,vs uncertain,contact_prob_sum,23,2,0.782608695652174,0.6086956521739131,0.9565217391304348,,,0.7391304347826086,0.0434782608695653,-0.17391304347826086,0.30434782608695654,False,True,0.2608695652173913
By negative evidence,vs uncertain,contact_prob_density,23,2,0.7391304347826086,0.5652173913043478,0.9130434782608695,,,0.7391304347826086,0.0,-0.26086956521739124,0.30434782608695654,False,True,0.2608695652173913
By negative evidence,vs uncertain,contact_prob_max,23,2,0.782608695652174,0.6086956521739131,0.9565217391304348,,,0.7391304347826086,0.0434782608695653,-0.17391304347826086,0.30434782608695654,False,True,0.2608695652173913
By negative evidence,vs uncertain,n_contacts_p50,23,2,0.8260869565217391,0.717391304347826,0.9130434782608695,,,0.7391304347826086,0.08695652173913049,-0.13043478260869557,0.34782608695652173,False,True,0.2608695652173913
By negative evidence,vs uncertain,contact_participation_ratio,23,2,0.10869565217391304,0.0,0.2608695652173913,,,0.7391304347826086,-0.6304347826086956,-0.8695652173913043,-0.3913043478260869,False,True,0.2608695652173913
By negative evidence,vs uncertain,plddt_mean,23,2,0.6739130434782609,0.34782608695652173,0.9565217391304348,,,0.7391304347826086,-0.06521739130434778,-0.5652173913043478,0.43478260869565216,False,True,0.2608695652173913
By negative evidence,vs weak (inferred + absence_only),iptm,23,21,0.8426501035196687,0.7153209109730849,0.9503105590062112,0.00019998000199980003,0.00045709714742811437,0.7743271221532091,0.06832298136645965,-0.09006211180124224,0.23498964803312627,False,False,0.5341614906832298
By negative evidence,vs weak (inferred + absence_only),chain_pair_iptm,23,21,0.8426501035196687,0.7153209109730849,0.9503105590062112,0.00019998000199980003,0.00045709714742811437,0.7743271221532091,0.06832298136645965,-0.09006211180124224,0.23498964803312627,False,False,0.5341614906832298
By negative evidence,vs weak (inferred + absence_only),ranking_score,23,21,0.7463768115942029,0.5869565217391305,0.8850931677018633,0.0053994600539946005,0.0071992800719928,0.7743271221532091,-0.02795031055900621,-0.21532091097308492,0.16666666666666663,False,False,0.5341614906832298
By negative evidence,vs weak (inferred + absence_only),ptm,23,21,0.7194616977225673,0.5559006211180124,0.8633540372670807,0.012598740125987402,0.015506141693522955,0.7743271221532091,-0.054865424430641796,-0.2701863354037267,0.16149068322981364,False,False,0.5341614906832298
By negative evidence,vs weak (inferred + absence_only),fraction_disordered,23,21,0.5072463768115942,0.33954451345755693,0.6666666666666666,0.9331066893310669,0.9331066893310669,0.7743271221532091,-0.26708074534161486,-0.47308488612836436,-0.04244306418219457,False,False,0.5341614906832298
By negative evidence,vs weak (inferred + absence_only),chain_pair_pae_min,23,21,0.8592132505175983,0.7308488612836439,0.9648033126293996,0.00019998000199980003,0.00045709714742811437,0.7743271221532091,0.08488612836438925,-0.07246376811594202,0.24637681159420288,False,False,0.5341614906832298
By negative evidence,vs weak (inferred + absence_only),pae_inter_mean,23,21,0.7619047619047619,0.6107660455486542,0.8902691511387164,0.0028997100289971,0.0042177600421776,0.7743271221532091,-0.012422360248447228,-0.18840579710144922,0.17184265010351973,False,False,0.5341614906832298
